domain,cname_target,provider,has_a_record
cwsext.one.microsoft.com,cwsprod.trafficmanager.net.,trafficmanager.net,True
msftguest.microsoft.com,msftguestprod.trafficmanager.net.,trafficmanager.net,True
internal.bingads.microsoft.com,internal.azure.bingads.trafficmanager.net.,trafficmanager.net,False
m.manage-beta.microsoft.com,ctipportalparent.trafficmanager.net.,trafficmanager.net,False
sellerdashboard.microsoft.com,sellerdashboardprod.trafficmanager.net.,trafficmanager.net,False
i.w.apprep.smartscreen.microsoft.com,wd-prod-ss.trafficmanager.net.,trafficmanager.net,False
validation-v2.sls.microsoft.com,validation-v2.sls.trafficmanager.net.,trafficmanager.net,True
activate.microsoft.com,rdslmprdfe.trafficmanager.net.,trafficmanager.net,True
manage.microsoft.com,manage-pe.trafficmanager.net.,trafficmanager.net,True
beta.t.urs.microsoft.com,prod-atm-wds.trafficmanager.net.,trafficmanager.net,True
vscode-auth.github.com,github.github.io.,github.io,True
bcweb.microsoft.com,bcweb.trafficmanager.net.,trafficmanager.net,True
beta.feedback.smartscreen.microsoft.com,beta.feedbacksite-prod.trafficmanager.net.,trafficmanager.net,True
portal.manage.microsoft.com,prodportalparent.trafficmanager.net.,trafficmanager.net,True
Status.manage.microsoft.com,intunestatus.trafficmanager.net.,trafficmanager.net,True
mbs2.microsoft.com,mbs-external-pme-prod.trafficmanager.net.,trafficmanager.net,True
paivr.partners.extranet.microsoft.com,paivr.trafficmanager.net.,trafficmanager.net,True
gameoff.github.com,github.github.io.,github.io,True
Security.microsoft.com,protection.office.trafficmanager.net.,trafficmanager.net,True
icmods.microsoft.com,icmods.azurewebsites.net.,azurewebsites.net,False
sls.update.microsoft.com,glb.sls.prod.dcat.dsp.trafficmanager.net.,trafficmanager.net,True
m.manage.microsoft.com,prodportalparent.trafficmanager.net.,trafficmanager.net,True
f.cloud.github.com,r2.shared.global.fastly.net.,fastly.net,True
sandbox.bingads.microsoft.com,azure.si.trafficmanager.net.,trafficmanager.net,True
deviceprofiler.microsoft.com,deviceprofileratm.trafficmanager.net.,trafficmanager.net,True
advertise.bingads.microsoft.com,advertiseonbing.azurewebsites.net.,azurewebsites.net,True
security.microsoft.com,protection.office.trafficmanager.net.,trafficmanager.net,True
channelinclusionsand.microsoft.com,cisand.channeluat.cloudapp.net.akadns.net.,cloudapp.net,False
model-launchkit.github.com,github.github.io.,github.io,True
examregistration-uat-api.github.com,gh-cert-services-s-uat.azurewebsites.net.,azurewebsites.net,True
oca.microsoft.com,legacywatson.trafficmanager.net.,trafficmanager.net,False
r.manage-beta.microsoft.com,manage-betamtls.trafficmanager.net.,trafficmanager.net,True
Activate.microsoft.com,rdslmprdfe.trafficmanager.net.,trafficmanager.net,True
expertzone.microsoft.com,expertzone-production.azurewebsites.net.,azurewebsites.net,True
watson.microsoft.com,legacywatson.trafficmanager.net.,trafficmanager.net,True
www.update.microsoft.com,redir.update.msft.com.trafficmanager.net.,trafficmanager.net,True
examregistration-api.github.com,gh-cert-services-prod1.azurewebsites.net.,azurewebsites.net,True
test.social.expression.microsoft.com,profile-test-web.cloudapp.net.,cloudapp.net,False
beta.urs.microsoft.com,prod-atm-wds.trafficmanager.net.,trafficmanager.net,True
telemetry.urs.microsoft.com,prod-atm-wds.trafficmanager.net.,trafficmanager.net,True
urs.familysafety.microsoft.com,fsurs-c2s-afd-prodp.trafficmanager.net.,trafficmanager.net,True
asset-generator.github.com,github.github.io.,github.io,True
examadmin-uat.github.com,gh-cert-registration-s-uat.azurewebsites.net.,azurewebsites.net,True
windowsupdate.microsoft.com,redir.update.msft.com.trafficmanager.net.,trafficmanager.net,True
hcrs-uat.microsoft.com,hcrsuat.azurewebsites.net.,azurewebsites.net,True
settings.familysafety.microsoft.com,settings-familysafety-prod.trafficmanager.net.,trafficmanager.net,False
c1.by2.adcenterapi.microsoft.com,c1-by2-adcenterapi.trafficmanager.net.,trafficmanager.net,True
skyline.github.com,github.github.io.,github.io,True
